time,temp_nocalibrated_depth_9.75m,temp_nocalibrated_depth_8.25m,temp_nocalibrated_depth_6.75m,temp_nocalibrated_depth_5.25m,temp_nocalibrated_depth_4.25m,temp_nocalibrated_depth_3.25m,temp_nocalibrated_depth_2.25m,temp_nocalibrated_depth_1.25m,temp_nocalibrated_depth_0.75m,temp_nocalibrated_depth_0.25m
2024-09-21 07:01:29,5.625,5.3125,5.125,5.125,5.125,4.875,4.9375,4.8125,4.6875,4.5
2024-09-21 07:30:57,5.5,5.25,5.125,5.125,5.125,4.9375,4.9375,4.75,4.6875,4.4375
2024-09-21 08:00:55,5.5625,5.25,5.125,5.125,5.1875,4.9375,5.0,4.8125,4.75,4.5
2024-09-21 08:30:43,5.375,5.1875,5.125,5.0,5.0,4.9375,4.9375,4.75,4.6875,4.4375
2024-09-21 09:00:56,5.4375,5.25,5.0625,4.9375,4.8125,4.625,4.6875,4.5625,4.5625,4.4375
2024-09-21 09:30:55,5.3125,5.125,5.0625,5.0625,5.1875,5.0,5.0625,5.0,5.0,4.8125
2024-09-21 10:01:24,5.3125,5.125,5.0,5.0,4.9375,4.875,5.0,5.0,5.0,4.75
2024-09-21 10:30:44,5.375,5.0625,5.0,4.9375,5.0,4.875,4.8125,4.75,4.75,4.6875
2024-09-21 11:00:55,5.375,5.125,5.0,4.875,4.875,4.75,4.6875,4.625,4.5,4.1875
2024-09-21 11:30:57,5.4375,5.1875,5.0625,4.8125,4.75,4.4375,4.6875,4.25,4.125,3.8125
2024-09-21 12:00:57,5.5625,5.3125,5.0,4.875,4.8125,4.75,4.6875,4.0625,4.0625,3.6875
2024-09-21 12:30:45,5.4375,5.3125,4.875,4.75,4.8125,4.75,4.875,4.8125,4.8125,4.625
2024-09-21 13:01:30,5.4375,5.25,4.6875,4.6875,4.75,4.6875,4.8125,4.75,4.75,4.625
2024-09-21 13:30:56,5.5625,5.5,5.3125,5.125,4.6875,4.625,4.75,4.4375,4.375,4.3125
2024-09-21 14:00:58,5.625,5.4375,5.4375,5.1875,5.125,4.5,4.4375,4.875,4.75,4.4375
2024-09-21 14:30:46,5.6875,5.5,5.5,5.375,5.25,4.9375,4.9375,4.625,4.4375,4.3125
